安徽			宣城康凯信息科技有限公司
北京			联想（北京）有限公司
北京			中国航空发动机集团有限公司
北京			北京宏益装饰工程有限公司
北京			中企网通投资顾问（北京）有限公司
北京			北京皓海创智商贸有限责任公司
福建			厦门象屿铝晟有限公司
广东			深圳市长河动力技术有限公司
广东			盈信商业保理有限公司
广东			深圳快快金融服务有限公司
广东			民生易贷（珠海）互联网金融信息服务有限公司
广东			深圳市汇诚商业保理有限公司
广东			深圳市福晟钱隆大第房地产开发有限公司
广东			中铁建南方建设投资有限公司
广东			深圳市美联国际教育科技有限公司
广东			深圳市星河投资有限公司
广东			腾讯音乐娱乐（深圳）有限公司
广东			金大福珠宝有限公司
广东			深圳汉信置业有限公司
广东			广州市富思房地产开发有限公司
广东			深圳市惠潭建材有限公司
广东			东莞市裕景房地产开发有限公司
广东			广州讯联通信科技股份有限公司
广东			东莞市百盛房地产开发有限公司
广东			佛山市芳卉苗木有限公司
广东			中核华泰建设有限公司
广东			佛山市龙光骏景房地产有限公司
河北			中建（唐山曹妃甸）工程建设有限公司
河南			洛阳陶韵酒业有限公司
吉林			长春市朗逸俊达经贸有限公司
辽宁			大连能源公司三鑫稀释料经销处
宁夏			宁夏钱包金服小额贷款有限公司
山东			青岛昕孚置业有限公司
山东			济南泉睿投资有限公司
山东			济南万城建材批发市场管理有限公司
山东			临沂恒金置业有限公司
上海			上海羽薇实业有限公司
上海			上海其尼国际贸易有限公司
上海			上海九付科技有限公司
上海			上海穆善金属材料有限公司
西藏			西藏禛宏臻茂实业有限公司
西藏			山南华闻创业投资有限公司
浙江			嘉兴鼎泰园区建设发展有限公司
浙江			东阳正午阳光影视有限公司
浙江			嘉兴融友投资合伙企业（有限合伙）
浙江			浙江天猫技术有限公司
浙江			丽水市覃维贸易有限公司
浙江			嘉兴稳驰投资有限公司
浙江			网易（杭州）网络有限公司
浙江			杭州网易雷火科技有限公司
浙江			浙江浙能富兴燃料有限公司
总局			中国船舶重工集团投资有限公司
